Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,CL21B104KBCNNNC,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,138.0,-102.75,90.0,top
C10,CL21B104KBCNNNC,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,127.325,-134.88,-90.0,top
C11,GRM21BR61C106KE15K,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,134.35,-126.75,0.0,top
C12,GRM21BR61C106KE15K,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,134.35,-128.8,0.0,top
C13,GRM21BR61C106KE15K,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,134.35,-130.85,0.0,top
C14,GRM21BR61C106KE15K,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,134.35,-132.9,0.0,top
C15,DNP,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,137.15,-135.9,90.0,top
C16,GRM21BR61H475KE51L,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,120.15,-140.7,180.0,top
C17,CL21B104KBCNNNC,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,120.15,-138.65,180.0,top
C18,GRM21BR61H475KE51L,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,132.8,-140.0,0.0,top
C2,CL21B105KAFNNNE,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,140.05,-102.75,90.0,top
C3,CL21B104KBCNNNC,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,138.1,-111.4,-90.0,top
C4,CL21B105KAFNNNE,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,140.15,-111.4,-90.0,top
C5,CL21B104KBCNNNC,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,121.25,-125.85,-90.0,top
C6,865080642006,865080642006,118.45,-145.65,-90.0,top
C7,CL21B104KBCNNNC,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,133.125,-135.92,90.0,top
C8,GRM21BR61H475KE51L,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,123.125,-134.88,-90.0,top
C9,GRM21BR61H475KE51L,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,125.225,-134.88,-90.0,top
D1,MSS1P3L-M3/89A,D_MicroSMP_AK_MSS1P3L-M3_89A,139.0225,-105.7,0.0,top
D2,SMAJ26A-13-F,D_SMAJ26A-13-F,117.6,-131.2325,90.0,top
D3,150080GS75000,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,102.85,-139.35,180.0,top
D4,150080GS75000,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,147.05,-119.1,-90.0,top
D5,150080GS75000,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,140.95,-147.8,-90.0,top
D6,STPS2H100ZF,D_SOD-123F_STPS2H100ZF,137.2,-139.85,0.0,top
FL1,ACM4520-421-2P-T000,L_CommonModeChoke_TDK_ACM4520-421-2P-T000,122.8,-130.3,180.0,top
J1,XT30PW-M,AMASS_XT30PW-M_1x02_P2.50mm_Horizontal,109.0,-130.4,90.0,top
J2,SM05B-GHS-TB,JST_GH_SM05B-GHS-TB_1x05-1MP_P1.25mm_Horizontal,103.3,-113.45,-90.0,top
J3,1985807,"TerminalBlock_Phoenix_MKDS-1,5-2_1x02_P3.50mm_Horizontal_1985807",135.2,-145.35,0.0,top
J4,PH1RA-03-UA,PinHeader_1x03_P2.54mm_Horizontal,145.825,-125.365,0.0,top
J5,PH1RA-03-UA,PinHeader_1x03_P2.54mm_Horizontal,145.825,-134.765,0.0,top
L1,NRS5030T4R7MMGJV,L_Taiyo-Yuden_NRS5030T4R7MMGJV,129.4,-129.1,90.0,top
Q1,DMN3731U-7,SOT-23-3_DMN3731U-7,110.65,-140.1,180.0,top
Q2,DMN3731U-7,SOT-23-3_DMN3731U-7,141.25,-140.25,180.0,top
R1,RMCF0805JT4K70,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,112.2,-103.65,-90.0,top
R10,RC0805JR-070RL,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,109.0,-112.85,0.0,top
R11,DNP 0805,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,111.95,-111.95,-90.0,top
R12,ERJ-P06J112V,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,106.9,-139.35,0.0,top
R13,RC0805JR-070RL,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,117.2,-139.8,90.0,top
R14,ERA-6AEB114V,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,141.15,-135.9,-90.0,top
R15,RT0805BRD0715KL,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,139.15,-135.9,90.0,top
R16,RC0805FR-0790R9L,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,145.0,-119.1,-90.0,top
R17,DNP 0805,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,135.15,-135.95,-90.0,top
R18,RT0805BRD071K3L,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,125.2,-138.5,0.0,top
R19,RT0805BRD0710K7L,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,128.9875,-138.5,0.0,top
R2,RMCF0805JT4K70,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,114.2,-103.65,-90.0,top
R20,ERJ-P06J112V,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,140.95,-143.95,90.0,top
R21,RC0805JR-070RL,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,145.1,-141.05,180.0,top
R3,DNP 0805,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,110.2,-103.65,90.0,top
R4,DNP 0805,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,124.15,-124.85,180.0,top
R5,RC0805JR-070RL,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,124.15,-126.85,180.0,top
R6,DNP 0805,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,109.0,-110.85,0.0,top
R7,RC0805JR-070RL,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,109.0,-108.85,0.0,top
R8,DNP 0805,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,111.95,-108.1,-90.0,top
R9,DNP 0805,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,109.0,-114.9,0.0,top
U1,113991054,XIAO-ESP32C3-SMD,126.7825,-112.159,0.0,top
U2,SN74LVC2G17DBVR,SOT-23-6,117.95,-124.95,0.0,top
U3,LMR51420YDDCR,SOT-23-6_LMR51420YDDCR,130.225,-135.05,-90.0,top
U4,LM317MDCYR,SOT-223-3_TabPin2_LM317MDCYR,125.7,-144.05,-90.0,top
